,Annee,Mois,Jour,Date,Co2
357,1981,3,29,1981.2397,342.23
358,1981,4,5,1981.2589,342.62
359,1981,4,12,1981.2781,342.8
360,1981,4,19,1981.2973,342.54
361,1981,4,26,1981.3164,342.71
362,1981,5,3,1981.3356,343.08
363,1981,5,10,1981.3548,343.04
364,1981,5,17,1981.374,342.95
365,1981,5,24,1981.3932,343.0
366,1981,5,31,1981.4123,342.87
367,1981,6,7,1981.4315,342.83
368,1981,6,14,1981.4507,342.4
369,1981,6,21,1981.4699,342.19
370,1981,6,28,1981.489,341.71
371,1981,7,5,1981.5082,341.3
372,1981,7,12,1981.5274,340.54
373,1981,7,19,1981.5466,340.72
374,1981,7,26,1981.5658,340.05
375,1981,8,2,1981.5849,339.3
376,1981,8,9,1981.6041,338.98
377,1981,8,16,1981.6233,338.18
378,1981,8,23,1981.6425,337.25
379,1981,8,30,1981.6616,337.6
380,1981,9,6,1981.6808,337.1
381,1981,9,13,1981.7,336.92
382,1981,9,20,1981.7192,336.84
383,1981,9,27,1981.7384,336.24
384,1981,10,4,1981.7575,336.66
385,1981,10,11,1981.7767,337.11
386,1981,10,18,1981.7959,337.22
387,1981,10,25,1981.8151,337.68
388,1981,11,1,1981.8342,338.13
389,1981,11,8,1981.8534,338.29
390,1981,11,15,1981.8726,338.43
391,1981,11,22,1981.8918,339.23
392,1981,11,29,1981.911,339.72
393,1981,12,6,1981.9301,339.7
394,1981,12,13,1981.9493,339.64
395,1981,12,20,1981.9685,340.03
396,1981,12,27,1981.9877,340.51
397,1982,1,3,1982.0068,340.59
398,1982,1,10,1982.026,340.75
399,1982,1,17,1982.0452,340.8
400,1982,1,24,1982.0644,341.64
401,1982,1,31,1982.0836,341.77
402,1982,2,7,1982.1027,341.58
403,1982,2,14,1982.1219,341.34
404,1982,2,21,1982.1411,341.97
405,1982,2,28,1982.1603,342.71
406,1982,3,7,1982.1795,342.47
407,1982,3,14,1982.1986,342.71
408,1982,3,21,1982.2178,-999.99
409,1982,3,28,1982.237,342.84
410,1982,4,4,1982.2562,343.37
411,1982,4,11,1982.2753,-999.99
412,1982,4,18,1982.2945,-999.99
413,1982,4,25,1982.3137,344.91
414,1982,5,2,1982.3329,344.24
415,1982,5,9,1982.3521,344.81
416,1982,5,16,1982.3712,344.67
417,1982,5,23,1982.3904,344.81
418,1982,5,30,1982.4096,343.96
419,1982,6,6,1982.4288,344.05
420,1982,6,13,1982.4479,344.07
421,1982,6,20,1982.4671,343.4
422,1982,6,27,1982.4863,343.28
423,1982,7,4,1982.5055,342.91
424,1982,7,11,1982.5247,342.27
425,1982,7,18,1982.5438,342.09
426,1982,7,25,1982.5629999999999,341.76
427,1982,8,1,1982.5822,341.06
428,1982,8,8,1982.6014,340.6
429,1982,8,15,1982.6205,340.43
430,1982,8,22,1982.6397,339.15
431,1982,8,29,1982.6589,338.88
432,1982,9,5,1982.6781,338.74
433,1982,9,12,1982.6973,338.96
434,1982,9,19,1982.7164,337.24
435,1982,9,26,1982.7356,337.51
436,1982,10,3,1982.7548,337.81
437,1982,10,10,1982.774,337.96
438,1982,10,17,1982.7932,338.25
439,1982,10,24,1982.8123,339.22
440,1982,10,31,1982.8315,339.02
441,1982,11,7,1982.8507,339.26
442,1982,11,14,1982.8699,339.56
443,1982,11,21,1982.889,340.37
444,1982,11,28,1982.9082,339.82
445,1982,12,5,1982.9274,340.57
446,1982,12,12,1982.9466,340.81
447,1982,12,19,1982.9658,341.35
448,1982,12,26,1982.9849,341.42
449,1983,1,2,1983.0041,341.69
450,1983,1,9,1983.0233,342.18
451,1983,1,16,1983.0425,341.44
452,1983,1,23,1983.0616,341.72
453,1983,1,30,1983.0808,342.08
454,1983,2,6,1983.1,342.78
455,1983,2,13,1983.1192,343.05
456,1983,2,20,1983.1384,343.03
457,1983,2,27,1983.1575,342.71
458,1983,3,6,1983.1767,342.63
459,1983,3,13,1983.1959,343.74
460,1983,3,20,1983.2151,344.93
461,1983,3,27,1983.2342,343.74
462,1983,4,3,1983.2534,344.74
463,1983,4,10,1983.2726,345.03
464,1983,4,17,1983.2918,345.6
465,1983,4,24,1983.3110000000001,345.82
466,1983,5,1,1983.3301,345.64
467,1983,5,8,1983.3493,345.94
468,1983,5,15,1983.3685,346.36
469,1983,5,22,1983.3877,346.07
470,1983,5,29,1983.4068,345.95
471,1983,6,5,1983.4260000000002,346.09
472,1983,6,12,1983.4452,345.73
473,1983,6,19,1983.4644,345.39
474,1983,6,26,1983.4836,344.96
475,1983,7,3,1983.5027,345.02
476,1983,7,10,1983.5219,344.31
477,1983,7,17,1983.5411,344.1
478,1983,7,24,1983.5603,343.39
479,1983,7,31,1983.5795,342.75
480,1983,8,7,1983.5986,-999.99
481,1983,8,14,1983.6178,342.06
482,1983,8,21,1983.6370000000002,341.89
483,1983,8,28,1983.6562,340.95
484,1983,9,4,1983.6753,340.34
485,1983,9,11,1983.6945,340.23
486,1983,9,18,1983.7137,340.29
487,1983,9,25,1983.7329,340.39
488,1983,10,2,1983.7521,339.98
489,1983,10,9,1983.7712,340.2
490,1983,10,16,1983.7904,340.82
491,1983,10,23,1983.8096,340.67
492,1983,10,30,1983.8288,341.07
493,1983,11,6,1983.8479,341.37
494,1983,11,13,1983.8671,341.66
495,1983,11,20,1983.8863,341.71
496,1983,11,27,1983.9055,342.24
497,1983,12,4,1983.9247,342.48
498,1983,12,11,1983.9438,342.74
499,1983,12,18,1983.963,343.43
500,1983,12,25,1983.9822,343.63
501,1984,1,1,1984.0014,344.09
502,1984,1,8,1984.0205,343.78
503,1984,1,15,1984.0396,343.98
504,1984,1,22,1984.0587,344.39
505,1984,1,29,1984.0779,344.59
506,1984,2,5,1984.0970000000002,344.86
507,1984,2,12,1984.1161,344.67
508,1984,2,19,1984.1352,344.98
509,1984,2,26,1984.1544,344.91
510,1984,3,4,1984.1735,345.23
511,1984,3,11,1984.1926,345.52
512,1984,3,18,1984.2117,345.66
513,1984,3,25,1984.2309,345.76
514,1984,4,1,1984.25,-999.99
515,1984,4,8,1984.2691,-999.99
516,1984,4,15,1984.2883,-999.99
517,1984,4,22,1984.3074,-999.99
518,1984,4,29,1984.3265,347.6
519,1984,5,6,1984.3456,347.36
520,1984,5,13,1984.3648,347.86
521,1984,5,20,1984.3839,347.53
522,1984,5,27,1984.4029999999998,347.51
523,1984,6,3,1984.4221,347.07
524,1984,6,10,1984.4413,347.36
525,1984,6,17,1984.4604,346.97
526,1984,6,24,1984.4795,346.5
527,1984,7,1,1984.4986,346.21
528,1984,7,8,1984.5178,346.07
529,1984,7,15,1984.5369,345.35
530,1984,7,22,1984.556,344.89
531,1984,7,29,1984.5751,344.74
532,1984,8,5,1984.5943,344.35
533,1984,8,12,1984.6134,344.12
534,1984,8,19,1984.6325,343.05
535,1984,8,26,1984.6516,342.12
536,1984,9,2,1984.6708,340.88
537,1984,9,9,1984.6899,341.1
538,1984,9,16,1984.7089999999998,341.87
539,1984,9,23,1984.7281,341.24
540,1984,9,30,1984.7473,341.9
541,1984,10,7,1984.7664,341.16
542,1984,10,14,1984.7855,341.99
543,1984,10,21,1984.8046,341.91
544,1984,10,28,1984.8238,342.06
545,1984,11,4,1984.8429,342.6
546,1984,11,11,1984.862,343.08
547,1984,11,18,1984.8811,343.53
548,1984,11,25,1984.9003,343.48
549,1984,12,2,1984.9194,-999.99
550,1984,12,9,1984.9385,344.64
551,1984,12,16,1984.9577,344.93
552,1984,12,23,1984.9768,344.7
553,1984,12,30,1984.9959,345.24
554,1985,1,6,1985.0151,345.3
555,1985,1,13,1985.0342,345.18
556,1985,1,20,1985.0534,345.18
557,1985,1,27,1985.0726,345.62
558,1985,2,3,1985.0918,346.01
559,1985,2,10,1985.111,345.72
560,1985,2,17,1985.1301,346.49
561,1985,2,24,1985.1493,346.72
562,1985,3,3,1985.1685,347.21
563,1985,3,10,1985.1877,347.57
564,1985,3,17,1985.2068,347.92
565,1985,3,24,1985.226,348.34
566,1985,3,31,1985.2452,348.23
567,1985,4,7,1985.2644,348.24
568,1985,4,14,1985.2836,347.94
569,1985,4,21,1985.3027,348.69
570,1985,4,28,1985.3219,348.96
571,1985,5,5,1985.3411,349.24
572,1985,5,12,1985.3603,349.1
573,1985,5,19,1985.3795,349.07
574,1985,5,26,1985.3986,348.91
575,1985,6,2,1985.4178,348.86
576,1985,6,9,1985.4370000000001,348.55
577,1985,6,16,1985.4562,348.37
578,1985,6,23,1985.4753,347.79
579,1985,6,30,1985.4945,347.24
580,1985,7,7,1985.5137,347.1
581,1985,7,14,1985.5329,346.89
582,1985,7,21,1985.5521,346.47
583,1985,7,28,1985.5712,345.86
584,1985,8,4,1985.5904,345.33
585,1985,8,11,1985.6096,344.23
586,1985,8,18,1985.6288,344.61
587,1985,8,25,1985.6479,344.76
588,1985,9,1,1985.6671,344.14
589,1985,9,8,1985.6863,343.61
590,1985,9,15,1985.7055,343.38
591,1985,9,22,1985.7247,342.29
592,1985,9,29,1985.7438,342.34
593,1985,10,6,1985.763,342.92
594,1985,10,13,1985.7822,342.95
595,1985,10,20,1985.8014,343.48
596,1985,10,27,1985.8205,343.75
597,1985,11,3,1985.8397,343.76
598,1985,11,10,1985.8589,344.36
599,1985,11,17,1985.8781,344.81
600,1985,11,24,1985.8973,345.29
601,1985,12,1,1985.9164,345.29
602,1985,12,8,1985.9356,345.9
603,1985,12,15,1985.9548,345.88
604,1985,12,22,1985.974,346.04
605,1985,12,29,1985.9932,346.68
606,1986,1,5,1986.0123,346.55
607,1986,1,12,1986.0315,346.41
608,1986,1,19,1986.0507,346.78
609,1986,1,26,1986.0699,346.5
610,1986,2,2,1986.089,346.93
611,1986,2,9,1986.1082,347.22
612,1986,2,16,1986.1274,347.63
613,1986,2,23,1986.1466,347.44
